duration,pdays,previous,emp.var.rate,cons.price.idx,euribor3m,nr.employed,poutcome_n,contact_n,month_n,default_n
64.0,3.0,3.0,-3.4,92.649,0.715,5017.5,2.0,1.0,5.0,0.0
190.0,999.0,1.0,-2.9,92.201,0.869,5076.2,1.0,1.0,3.0,0.0
156.0,999.0,0.0,1.4,93.918,4.968,5228.1,0.0,1.0,2.0,0.0
39.0,999.0,0.0,1.4,93.918,4.957,5228.1,0.0,1.0,2.0,0.0
159.0,999.0,0.0,-0.1,93.2,4.076,5195.8,0.0,1.0,5.0,0.0
161.0,999.0,0.0,1.4,93.444,4.97,5228.1,0.0,1.0,3.0,1.0
290.0,5.0,1.0,-0.1,93.2,4.153,5195.8,2.0,1.0,5.0,0.0
406.0,999.0,0.0,-1.8,92.893,1.281,5099.1,0.0,1.0,0.0,0.0
158.0,999.0,0.0,-2.9,92.201,0.851,5076.2,0.0,1.0,3.0,0.0
160.0,999.0,0.0,1.1,93.994,4.857,5191.0,0.0,0.0,0.0,1.0
227.0,999.0,0.0,-3.4,92.431,0.742,5017.5,0.0,1.0,4.0,0.0
1084.0,999.0,0.0,-2.9,92.469,0.933,5076.2,0.0,1.0,2.0,0.0
173.0,999.0,0.0,-1.8,92.893,1.281,5099.1,0.0,1.0,0.0,0.0
101.0,999.0,0.0,-1.8,92.893,1.344,5099.1,0.0,1.0,0.0,0.0
421.0,999.0,0.0,1.1,93.994,4.857,5191.0,0.0,0.0,0.0,0.0
316.0,999.0,0.0,1.1,93.994,4.858,5191.0,0.0,0.0,0.0,0.0
131.0,999.0,0.0,1.1,93.994,4.856,5191.0,0.0,0.0,0.0,1.0
73.0,999.0,0.0,-0.1,93.2,4.076,5195.8,0.0,1.0,5.0,0.0
1011.0,999.0,1.0,-0.1,93.2,4.12,5195.8,1.0,1.0,5.0,0.0
45.0,999.0,0.0,1.4,93.918,4.968,5228.1,0.0,0.0,2.0,0.0
57.0,9.0,2.0,-1.8,92.893,1.244,5099.1,1.0,1.0,0.0,0.0
192.0,999.0,0.0,1.1,93.994,4.859,5191.0,0.0,0.0,0.0,0.0
45.0,999.0,0.0,1.4,93.444,4.965,5228.1,0.0,1.0,3.0,0.0
37.0,999.0,0.0,1.4,93.444,4.968,5228.1,0.0,1.0,3.0,1.0
358.0,999.0,0.0,1.1,93.994,4.857,5191.0,0.0,0.0,0.0,1.0
233.0,999.0,0.0,1.1,93.994,4.857,5191.0,0.0,0.0,0.0,0.0
263.0,999.0,0.0,1.1,93.994,4.858,5191.0,0.0,0.0,0.0,1.0
226.0,999.0,0.0,1.1,93.994,4.858,5191.0,0.0,0.0,0.0,1.0
74.0,999.0,0.0,1.4,93.444,4.966,5228.1,0.0,1.0,3.0,0.0
271.0,2.0,1.0,-1.8,93.075,1.365,5099.1,2.0,1.0,8.0,0.0
155.0,999.0,0.0,-0.1,93.2,4.153,5195.8,0.0,1.0,5.0,0.0
137.0,999.0,0.0,-1.8,92.893,1.259,5099.1,0.0,1.0,0.0,0.0
183.0,999.0,0.0,1.4,93.444,4.966,5228.1,0.0,1.0,3.0,0.0
295.0,999.0,0.0,-0.1,93.2,4.076,5195.8,0.0,1.0,5.0,0.0
148.0,999.0,0.0,1.1,93.994,4.856,5191.0,0.0,0.0,0.0,1.0
85.0,999.0,0.0,-1.8,92.893,1.27,5099.1,0.0,1.0,0.0,0.0
570.0,999.0,0.0,-2.9,92.963,1.215,5076.2,0.0,1.0,1.0,0.0
260.0,999.0,0.0,1.1,93.994,4.86,5191.0,0.0,0.0,0.0,0.0
5.0,999.0,1.0,-1.7,94.215,0.876,4991.6,1.0,0.0,2.0,0.0
601.0,999.0,0.0,1.4,93.444,4.967,5228.1,0.0,1.0,3.0,0.0
117.0,999.0,1.0,-1.8,92.893,1.299,5099.1,1.0,1.0,0.0,0.0
1500.0,999.0,0.0,1.1,93.994,4.864,5191.0,0.0,0.0,0.0,1.0
97.0,999.0,0.0,-1.8,93.075,1.405,5099.1,0.0,1.0,8.0,0.0
441.0,999.0,0.0,-1.8,93.075,1.423,5099.1,0.0,1.0,8.0,0.0
239.0,999.0,0.0,1.4,93.444,4.965,5228.1,0.0,1.0,3.0,0.0
68.0,999.0,0.0,1.1,93.994,4.856,5191.0,0.0,0.0,0.0,0.0
436.0,999.0,0.0,1.4,93.918,4.963,5228.1,0.0,1.0,2.0,0.0
272.0,999.0,0.0,-1.8,93.369,0.646,5008.7,0.0,1.0,7.0,0.0
211.0,999.0,0.0,1.4,93.918,4.961,5228.1,0.0,1.0,2.0,0.0
228.0,999.0,0.0,1.4,94.465,4.961,5228.1,0.0,0.0,1.0,0.0
181.0,999.0,0.0,1.4,93.918,4.96,5228.1,0.0,1.0,2.0,0.0
69.0,999.0,0.0,1.4,94.465,4.865,5228.1,0.0,0.0,1.0,0.0
164.0,999.0,0.0,1.4,94.465,4.864,5228.1,0.0,0.0,1.0,1.0
147.0,999.0,0.0,1.4,94.465,4.865,5228.1,0.0,0.0,1.0,0.0
383.0,999.0,0.0,-1.8,92.893,1.327,5099.1,0.0,1.0,0.0,1.0
107.0,999.0,0.0,1.4,93.444,4.962,5228.1,0.0,1.0,3.0,0.0
277.0,999.0,0.0,-1.8,92.843,1.531,5099.1,0.0,1.0,7.0,0.0
123.0,999.0,0.0,1.4,94.465,4.96,5228.1,0.0,0.0,1.0,1.0
513.0,999.0,0.0,-1.8,93.075,1.365,5099.1,0.0,1.0,8.0,0.0
935.0,999.0,0.0,1.4,93.918,4.961,5228.1,0.0,1.0,2.0,0.0
186.0,999.0,0.0,-1.8,93.075,1.405,5099.1,0.0,1.0,8.0,0.0
137.0,999.0,1.0,-1.8,92.893,1.313,5099.1,1.0,1.0,0.0,0.0
223.0,999.0,0.0,1.4,93.918,4.961,5228.1,0.0,1.0,2.0,0.0
151.0,999.0,0.0,1.1,93.994,4.855,5191.0,0.0,0.0,0.0,0.0
119.0,999.0,0.0,-1.8,92.893,1.244,5099.1,0.0,1.0,0.0,0.0
67.0,999.0,0.0,-1.8,93.075,1.405,5099.1,0.0,0.0,8.0,0.0
704.0,999.0,1.0,-1.8,92.893,1.313,5099.1,1.0,1.0,0.0,0.0
212.0,999.0,0.0,1.4,93.444,4.963,5228.1,0.0,0.0,3.0,0.0
11.0,999.0,0.0,-1.8,92.893,1.291,5099.1,0.0,0.0,0.0,1.0
384.0,999.0,0.0,1.4,93.444,4.965,5228.1,0.0,1.0,3.0,0.0
361.0,999.0,1.0,-1.8,92.893,1.334,5099.1,1.0,1.0,0.0,1.0
21.0,999.0,0.0,1.1,93.994,4.855,5191.0,0.0,0.0,0.0,0.0
142.0,999.0,0.0,-1.8,93.075,1.445,5099.1,0.0,1.0,8.0,0.0
154.0,999.0,1.0,-0.1,93.2,4.076,5195.8,1.0,1.0,5.0,0.0
314.0,5.0,2.0,-1.7,94.215,0.881,4991.6,2.0,1.0,2.0,0.0
167.0,999.0,0.0,1.4,94.465,4.967,5228.1,0.0,0.0,1.0,1.0
217.0,999.0,0.0,-1.8,92.893,1.344,5099.1,0.0,1.0,0.0,0.0
